company_name,company_id,company_isin,company_lei,investment_value,engagement_target,user_fields
Company M,AR0000000013,TW0006282007,254900BQVM5V0IY7RQ62,10000000,,
Company J,BR0000000010,GB00B1VNSX38,549300YPSNTXR4ZHSR98,10000000,,
Company K,BR0000000011,GRS346003007,2138003J1IUF4RSQ4K72,10000000,TRUE,
Company L,BR0000000012,US4103451021,GX5LWVWZLL5S4W1L2F20,10000000,,
Company Q,CA0000000017,GB00BVFD4645,2138004DGL1J6VQO6S92,12000000,,
Company R,CA0000000018,KR7066570003,,10000000,,
Company S,CA0000000019,GB00B7N0K053,213800ZD5I8XHNMCJA67,10000000,,
Company T,CA0000000020,JP3420600003,529900GMNDOYQSAJAE76,10000000,,
Company AQ,CH0038863350,TH0450010Y08,,10000000,,
Company AK,CH0198251305,JP3104890003,35380064HYEZXBQHDF07,10000000,,
Company G,CN0000000007,DE0006012008,549300T5RZ1HA5HZ3109,10000000,,
Company H,CN0000000008,AU0000030678,549300OHQRG2HN8LZ793,10000000,,
Company I,CN0000000009,GB0003452173,549300DEJZCPWA4HKM93,10000000,,
Company Y,DK0000000025,US4435731009,529900BLNVEW0MVKJB37,10000000,,
Company X,FI0000000024,TW0003481008,3003007EXL0825P1MJ10,10000000,,
Company N,FR0000000014,US4606901001,5493008IUOJ5VWTRC333,43000000,,
